subjID, trialID, choice, outcome, correct
3,1,2,1,1
3,2,2,-1,1
3,3,1,1,1
3,4,1,1,1
3,5,1,1,1
3,6,1,1,1
3,7,1,1,1
3,8,1,1,1
3,9,1,1,1
3,10,1,1,1
3,11,1,1,1
3,12,1,-1,1
3,13,2,-1,1
3,14,1,1,1
3,15,1,1,1
3,16,1,1,1
3,17,1,-1,2
3,18,2,1,2
3,19,2,1,2
3,20,2,-1,2
3,21,2,1,2
3,22,1,1,2
3,23,1,-1,2
3,24,1,1,2
3,25,1,-1,2
3,26,2,1,2
3,27,2,1,2
3,28,2,1,2
3,29,2,1,2
3,30,1,-1,2
3,31,2,1,2
3,32,2,1,2
3,33,2,-1,1
3,34,1,1,1
3,35,2,-1,1
3,36,1,1,1
3,37,1,-1,1
3,38,1,1,1
3,39,1,1,1
3,40,1,-1,1
3,41,2,1,1
3,42,2,1,1
3,43,2,-1,1
3,44,1,1,1
3,45,1,1,1
3,46,2,1,1
3,47,1,1,1
3,48,1,1,1
3,49,1,1,1
3,50,1,1,2
3,51,1,-1,2
3,52,2,1,2
3,53,2,-1,2
3,54,1,1,2
3,55,1,-1,2
3,56,1,-1,2
3,57,2,1,2
3,58,2,1,2
3,59,2,-1,2
3,60,2,1,2
3,61,1,1,2
3,62,2,1,2
3,63,2,1,2
3,64,2,1,2
3,65,2,1,2
3,66,2,1,1
3,67,2,-1,1
3,68,1,1,1
3,69,1,1,1
3,70,1,1,1
3,71,2,-1,1
3,72,1,-1,1
3,73,2,-1,1
3,74,1,1,1
3,75,1,1,1
3,76,1,1,1
3,77,1,1,1
3,78,1,1,1
3,79,1,1,1
3,80,1,1,1
