subjID, trialID, choice, outcome, correct
2,1,2,-1,1
2,2,1,-1,1
2,3,2,-1,1
2,4,1,1,1
2,5,2,-1,1
2,6,1,1,1
2,7,2,-1,1
2,8,1,1,1
2,9,2,-1,1
2,10,1,1,1
2,11,1,1,1
2,12,2,-1,1
2,13,1,1,1
2,14,2,-1,1
2,15,1,1,1
2,16,1,1,1
2,17,1,-1,2
2,18,1,-1,2
2,19,2,1,2
2,20,2,1,2
2,21,2,1,2
2,22,2,1,2
2,23,2,1,2
2,24,2,1,2
2,25,2,1,2
2,26,2,1,2
2,27,2,1,2
2,28,2,-1,2
2,29,1,-1,2
2,30,2,1,2
2,31,2,1,2
2,32,1,-1,2
2,33,2,-1,1
2,34,1,1,1
2,35,1,1,1
2,36,1,1,1
2,37,1,1,1
2,38,1,1,1
2,39,1,1,1
2,40,1,1,1
2,41,2,-1,1
2,42,1,-1,1
2,43,1,-1,1
2,44,2,-1,1
2,45,2,-1,1
2,46,1,1,1
2,47,1,1,1
2,48,1,1,1
2,49,1,-1,1
2,50,2,1,2
2,51,2,1,2
2,52,2,1,2
2,53,2,-1,2
2,54,2,1,2
2,55,2,-1,2
2,56,1,1,2
2,57,1,1,2
2,58,1,-1,2
2,59,2,-1,2
2,60,1,1,2
2,61,1,-1,2
2,62,2,1,2
2,63,2,1,2
2,64,2,1,2
2,65,2,1,2
2,66,1,1,1
2,67,1,1,1
2,68,1,-1,1
2,69,2,-1,1
2,70,1,1,1
2,71,2,1,1
2,72,1,1,1
2,73,1,1,1
2,74,1,1,1
2,75,1,1,1
2,76,1,1,1
2,77,1,1,1
2,78,1,1,1
2,79,1,1,1
2,80,2,-1,1
