subjID, trialID, choice, outcome, correct
5,1,1,-1,1
5,2,2,-1,1
5,3,2,-1,1
5,4,1,1,1
5,5,1,-1,1
5,6,1,1,1
5,7,1,-1,1
5,8,2,-1,1
5,9,1,1,1
5,10,1,-1,1
5,11,2,-1,1
5,12,1,1,1
5,13,1,1,1
5,14,1,1,1
5,15,1,1,1
5,16,1,1,1
5,17,1,-1,2
5,18,2,1,2
5,19,2,1,2
5,20,2,1,2
5,21,2,1,2
5,22,2,-1,2
5,23,2,1,2
5,24,2,1,2
5,25,2,1,2
5,26,2,1,2
5,27,2,1,2
5,28,1,-1,2
5,29,2,1,2
5,30,2,1,2
5,31,2,1,2
5,32,2,1,2
5,33,2,-1,1
5,34,1,1,1
5,35,1,1,1
5,36,1,1,1
5,37,1,1,1
5,38,1,1,1
5,39,1,1,1
5,40,1,1,1
5,41,1,1,1
5,42,1,1,1
5,43,1,1,1
5,44,2,-1,1
5,45,1,1,1
5,46,1,1,1
5,47,1,1,1
5,48,1,1,1
5,49,1,1,1
5,50,1,-1,2
5,51,1,-1,2
5,52,2,1,2
5,53,2,1,2
5,54,2,1,2
5,55,2,1,2
5,56,1,-1,2
5,57,2,1,2
5,58,2,1,2
5,59,2,1,2
5,60,2,1,2
5,61,2,-1,2
5,62,2,1,2
5,63,2,1,2
5,64,2,1,2
5,65,2,1,2
5,66,2,-1,1
5,67,2,-1,1
5,68,1,-1,1
5,69,2,-1,1
5,70,2,-1,1
5,71,1,1,1
5,72,1,-1,1
5,73,1,1,1
5,74,2,-1,1
5,75,2,-1,1
5,76,1,1,1
5,77,1,-1,1
5,78,2,-1,1
5,79,1,1,1
5,80,1,1,1
