subjID, trialID, choice, outcome, correct
6,1,1,1,1
6,2,1,1,1
6,3,1,1,1
6,4,1,1,1
6,5,1,1,1
6,6,1,1,1
6,7,1,1,1
6,8,2,1,1
6,9,2,-1,1
6,10,1,1,1
6,11,1,1,1
6,12,1,1,1
6,13,1,1,1
6,14,1,1,1
6,15,1,-1,1
6,16,2,-1,1
6,17,1,-1,2
6,18,1,-1,2
6,19,2,1,2
6,20,2,-1,2
6,21,1,-1,2
6,22,2,1,2
6,23,2,-1,2
6,24,1,-1,2
6,25,2,-1,2
6,26,2,1,2
6,27,2,1,2
6,28,2,1,2
6,29,2,1,2
6,30,2,1,2
6,31,2,1,2
6,32,2,1,2
6,33,2,1,1
6,34,2,-1,1
6,35,1,1,1
6,36,1,-1,1
6,37,2,-1,1
6,38,1,1,1
6,39,1,1,1
6,40,1,1,1
6,41,1,1,1
6,42,1,1,1
6,43,2,-1,1
6,44,1,1,1
6,45,1,1,1
6,46,2,1,1
6,47,2,-1,1
6,48,1,1,1
6,49,1,1,1
6,50,1,1,2
6,51,1,1,2
6,52,1,-1,2
6,53,2,-1,2
6,54,1,-1,2
6,55,2,1,2
6,56,2,1,2
6,57,2,1,2
6,58,1,-1,2
6,59,1,-1,2
6,60,2,1,2
6,61,2,1,2
6,62,2,1,2
6,63,2,1,2
6,64,2,1,2
6,65,1,-1,2
6,66,2,-1,1
6,67,1,1,1
6,68,1,1,1
6,69,1,1,1
6,70,1,1,1
6,71,1,1,1
6,72,1,1,1
6,73,1,1,1
6,74,1,1,1
6,75,1,1,1
6,76,1,1,1
6,77,1,1,1
6,78,1,-1,1
6,79,2,-1,1
6,80,1,1,1
