subjID, trialID, choice, outcome, correct
8,1,2,-1,1
8,2,2,-1,1
8,3,1,1,1
8,4,1,1,1
8,5,1,1,1
8,6,1,1,1
8,7,1,-1,1
8,8,1,1,1
8,9,1,-1,1
8,10,1,1,1
8,11,2,-1,1
8,12,1,1,1
8,13,2,1,1
8,14,1,1,1
8,15,1,1,1
8,16,1,1,1
8,17,1,-1,2
8,18,2,-1,2
8,19,1,-1,2
8,20,2,1,2
8,21,2,1,2
8,22,2,1,2
8,23,1,-1,2
8,24,2,1,2
8,25,2,1,2
8,26,2,1,2
8,27,2,-1,2
8,28,2,1,2
8,29,2,1,2
8,30,1,1,2
8,31,2,1,2
8,32,2,-1,2
8,33,1,1,1
8,34,1,1,1
8,35,1,1,1
8,36,1,1,1
8,37,1,1,1
8,38,1,1,1
8,39,1,1,1
8,40,1,1,1
8,41,1,1,1
8,42,1,1,1
8,43,1,1,1
8,44,1,1,1
8,45,1,1,1
8,46,1,1,1
8,47,1,1,1
8,48,2,-1,1
8,49,1,1,1
8,50,2,1,2
8,51,2,1,2
8,52,2,1,2
8,53,2,1,2
8,54,2,1,2
8,55,2,1,2
8,56,2,1,2
8,57,2,1,2
8,58,2,1,2
8,59,2,1,2
8,60,2,1,2
8,61,2,1,2
8,62,2,1,2
8,63,2,1,2
8,64,2,1,2
8,65,2,1,2
8,66,2,-1,1
8,67,2,1,1
8,68,2,1,1
8,69,2,-1,1
8,70,1,-1,1
8,71,1,1,1
8,72,2,-1,1
8,73,2,-1,1
8,74,1,1,1
8,75,1,1,1
8,76,1,1,1
8,77,1,1,1
8,78,2,-1,1
8,79,1,1,1
8,80,1,-1,1
