subjID, trialID, choice, outcome, correct
10,1,1,1,1
10,2,1,-1,1
10,3,2,-1,1
10,4,1,-1,1
10,5,1,1,1
10,6,1,1,1
10,7,1,1,1
10,8,2,-1,1
10,9,1,1,1
10,10,1,1,1
10,11,1,1,1
10,12,1,1,1
10,13,1,-1,1
10,14,2,-1,1
10,15,1,1,1
10,16,2,-1,1
10,17,1,1,2
10,18,1,1,2
10,19,2,1,2
10,20,1,1,2
10,21,1,-1,2
10,22,1,-1,2
10,23,2,1,2
10,24,2,1,2
10,25,2,1,2
10,26,2,1,2
10,27,2,-1,2
10,28,1,-1,2
10,29,2,1,2
10,30,2,1,2
10,31,2,1,2
10,32,2,-1,2
10,33,2,-1,1
10,34,1,1,1
10,35,1,1,1
10,36,1,1,1
10,37,1,1,1
10,38,1,1,1
10,39,1,1,1
10,40,1,1,1
10,41,1,-1,1
10,42,2,-1,1
10,43,1,1,1
10,44,2,1,1
10,45,2,-1,1
10,46,2,-1,1
10,47,1,1,1
10,48,2,-1,1
10,49,1,1,1
10,50,1,-1,2
10,51,1,1,2
10,52,2,1,2
10,53,1,-1,2
10,54,2,-1,2
10,55,2,-1,2
10,56,2,1,2
10,57,1,-1,2
10,58,2,1,2
10,59,2,1,2
10,60,2,-1,2
10,61,2,1,2
10,62,2,1,2
10,63,2,1,2
10,64,2,1,2
10,65,1,1,2
10,66,2,-1,1
10,67,1,1,1
10,68,1,1,1
10,69,1,1,1
10,70,1,-1,1
10,71,2,-1,1
10,72,1,-1,1
10,73,2,-1,1
10,74,1,-1,1
10,75,2,1,1
10,76,1,1,1
10,77,1,1,1
10,78,1,-1,1
10,79,2,1,1
10,80,1,1,1
